config,rate,latency,throughput
bv_K8x05_adj_load_L20,0.003,26.1106,0.0030125
bv_K8x05_adj_load_L20,0.005,27.0385,0.00497396
bv_K8x05_adj_load_L20,0.007,28.0291,0.00697917
bv_K8x05_adj_load_L20,0.01,30.8589,0.0100396
bv_K8x05_adj_load_L20,0.015,38.7172,0.0149677
bv_K8x05_adj_load_L20,0.02,305.899,0.0197469
bv_K8x05_adj_load_L20,0.025,491.518,0.0222469
bv_K8x05_express_greedy_L20,0.001,23.4245,0.00102604
bv_K8x05_express_greedy_L20,0.003,24.6389,0.0030125
bv_K8x05_express_greedy_L20,0.005,25.5701,0.00497396
bv_K8x05_express_greedy_L20,0.007,26.8932,0.00697812
bv_K8x05_express_greedy_L20,0.01,30.6963,0.0100406
bv_K8x05_express_greedy_L20,0.015,51.0028,0.0149635
bv_K8x05_express_greedy_L20,0.02,438.148,0.0167781
bv_K8x05_express_greedy_L20,0.025,856.938,0.0155969
bv_K8x05_adj_uniform_L30,0.001,24.766,0.00102604
bv_K8x05_adj_uniform_L30,0.003,25.8283,0.0030125
bv_K8x05_adj_uniform_L30,0.005,26.687,0.00497396
bv_K8x05_adj_uniform_L30,0.007,27.6993,0.00697917
bv_K8x05_adj_uniform_L30,0.01,30.4234,0.0100396
bv_K8x05_adj_uniform_L30,0.015,37.3186,0.0149771
bv_K8x05_adj_uniform_L30,0.02,73.9292,0.0200125
bv_K8x05_adj_uniform_L30,0.025,373.317,0.0232469
bv_K8x05_adj_load_L30,0.001,24.768,0.00102604
bv_K8x05_adj_load_L30,0.003,25.8369,0.0030125
bv_K8x05_adj_load_L30,0.005,26.6903,0.00497396
bv_K8x05_adj_load_L30,0.007,27.7112,0.00697917
bv_K8x05_adj_load_L30,0.01,30.4414,0.0100396
bv_K8x05_adj_load_L30,0.015,37.3496,0.0149771
bv_K8x05_adj_load_L30,0.02,73.0301,0.0200116
bv_K8x05_adj_load_L30,0.025,391.114,0.02315
bv_K8x05_express_greedy_L30,0.001,23.0659,0.00102604
bv_K8x05_express_greedy_L30,0.003,23.9993,0.0030125
bv_K8x05_express_greedy_L30,0.005,24.8612,0.00497396
bv_K8x05_express_greedy_L30,0.007,25.9976,0.00697812
bv_K8x05_express_greedy_L30,0.01,28.933,0.0100406
bv_K8x05_express_greedy_L30,0.015,38.0914,0.0148837
bv_K8x05_express_greedy_L30,0.02,382.022,0.0190406
bv_K8x05_express_greedy_L30,0.025,634.945,0.0197031
bv_K8x05_adj_uniform_L40,0.001,24.766,0.00102604
